County,Weather Station,Zip Code,Elev. (feet),Average Annual Minimum Temperature (°F),Absolute Minimum (°F),Average and Minimum Hardiness Zones,Years of Data
Sanpete,Dills Camp,84629,9182,-4,-18.4,"Zones 6b, 5a",29
Sanpete,Ephraim,84627,5498,-14.8,-34.6,"Zones 5b, 3b",30
Sanpete,Mammoth Cottonwood,84642,8727,-13,-29.2,"Zones 5b, 4a",29
Sanpete,Manti,84642,5740,-5.8,-23.8,"Zones 6a, 4b",30
Sanpete,Moroni,84646,5560,-9.4,-25.6,"Zones 6a, 4a",30
Sevier,Black Flat U.M. Ck,84701,9462,-13,-29.2,"Zones 5b, 4a",29
Sevier,Koosharem,84744,6930,-13,-32.8,"Zones 5b, 3b",20
Sevier,Lost Creek Salina 12S Utah,84654,7490,-2.2,-16.6,"Zones 6b, 5a",30
Sevier,Pickle Keg,84701,9600,-4,-14.8,"Zones 6b, 5b",27
Sevier,Richfield Radio KSVC,84701,5300,-9.4,-32.8,"Zones 6a, 3b",30
Sevier,Salina 24 E,84654,7560,-4,-18.4,"Zones 6b, 5a",30
Sevier,Signal Peak Monroe 5E Utah,84754,8750,-4,-22,"Zones 6b, 4b",30
Summit,Beaver Divide,84036,8280,-13,-25.6,"Zones 5b, 4a",30
Summit,Chalk Creek #2,84017,8158,-11.2,-25.6,"Zones 5b, 4a",28
Summit,Coalville,84017,5550,-13,-25.6,"Zones 5b, 4a",23
Summit,Echo Dam,84017,5470,-14.8,-32.8,"Zones 5b, 3b",30
Summit,Hayden Fork,82930,9212,-18.4,-31,"Zones 5a, 3b",29
Summit,Hewinta,82939,9519,-22,-31,"Zones 4b, 3b",29
Summit,Hole in Rock,84013,9150,-20.2,-31,"Zones 4b, 3b",29
Summit,Kamas,84036,6480,-11.2,-31,"Zones 5b, 3b",30
Summit,Park City,84060,6923,-7.6,-18.4,"Zones 6a, 5a",21
Summit,Smith & Morehouse,84036,7600,-11.2,-18.4,"Zones 5b, 5a",28
Summit,Steel Creek Park,82930,10200,-16.6,-38.2,"Zones 5a, 3a",28
Summit,Thaynes Canyon,84060,9230,-7.6,-23.8,"Zones 6a, 4b",29
Summit,Wanship Dam,84017,5940,-14.8,-27.4,"Zones 5b, 4a",30
Tooele,Cedar Mountains Stockton 24W,84071,4000,-2.2,-20.2,"Zones 6b, 4b",28
Tooele,Dugway,84022,4345,-9.4,-27.4,"Zones 6a, 4a",24
Tooele,Ibapah,84034,5280,-14.8,-27.4,"Zones 5b, 4a",30
Tooele,Johnson Pass,84022,5580,-2.2,-18.4,"Zones 6b, 5a",24
Tooele,Mining Fork,84074,8221,-2.2,-22,"Zones 6b, 4b",29
Tooele,Rocky Basin Settleme,84080,8900,-7.6,-23.8,"Zones 6a, 4b",29
Tooele,Tooele,84074,4944,1.4,-16.6,"Zones 7a, 5a",30
Tooele,Vernon,84080,5471,-11.2,-25.6,"Zones 5b, 4a",29
Tooele,Wendover Airport,84083,4237,1.4,-18.4,"Zones 7a, 5a",28
Uintah,Diamond Rim,84078,5500,-7.6,-29.2,"Zones 6a, 4a",30
Uintah,Dinosaur Natl. Monu. Quarry,84035,4802,-14.8,-32.8,"Zones 5b, 3b",30
Uintah,Fort Duchesne,84026,5052,-13,-38.2,"Zones 5b, 3a",30
Uintah,Jensen,84035,4736,-16.6,-36.4,"Zones 5a, 3a",30
Uintah,Kings Cabin,84066,8724,-16.6,-32.8,"Zones 5a, 3b",28
Uintah,Mccook Ridge,84066,7000,-5.8,-25.6,"Zones 6a, 4a",30
Uintah,Mosby Mtn,84039,9510,-14.8,-29.2,"Zones 5b, 4a",29
Uintah,Ouray 4 NE,84063,4674,-18.4,-40,"Zones 5a, 3a",30
Uintah,Roosevelt Radio,84066,5014,-18.4,-40,"Zones 5a, 3a",30
Uintah,Trout Creek,84078,9518,-18.4,-32.8,"Zones 5a, 3b",29
Uintah,Upper P.R. Canyon Utah,84066,8200,-7.6,-23.8,"Zones 6a, 4b",30
Uintah,Upper Sand Wash Utah,84035,6300,-7.6,-27.4,"Zones 6a, 4a",30
Uintah,Vernal Municipal AP,84078,5260,-9.4,-20.2,"Zones 6a, 4b",30
Utah,Alpine,84004,5070,1.4,-7.6,"Zones 7a, 6a",28
Utah,Clear Creek #1,84606,8908,-5.8,-22,"Zones 6a, 4b",29
Utah,Clear Creek #2,84526,7659,-9.4,-25.6,"Zones 6a, 4a",29
Utah,Fairfield,84013,4880,-13,-29.2,"Zones 5b, 4a",30
Utah,Pleasant Grove,84062,4692,5,-14.8,"Zones 7a, 5b",29
Utah,Provo BYU,84602,4570,5,-16.6,"Zones 7a, 5a",30
Utah,Santaquin Chlorinator,84655,5160,-2.2,-20.2,"Zones 6b, 4b",30
Utah,Spanish Fork Powerhouse,84660,4720,-0.4,-14.8,"Zones 6b, 5b",30
Utah,Timpanogos Cave,84003,5740,1.4,-14.8,"Zones 7a, 5b",29
Utah,Timpanogos Divide,84604,8140,-5.8,-25.6,"Zones 6a, 4a",28
Utah,Utah Lake Lehi,84043,4505,1.4,-16.6,"Zones 7a, 5a",22
Wasatch,Daniels Strawberry,84032,8037,-11.2,-29.2,"Zones 5b, 4a",29
Wasatch,Deer Creek Dam,84032,5270,-11.2,-29.2,"Zones 5b, 4a",30
Wasatch,Heber,84032,5590,-11.2,-34.6,"Zones 5b, 3b",24
Wasatch,Snake Crk. Powerhouse,84049,6010,-9.4,-29.2,"Zones 6a, 4a",26
Wasatch,White River #1,84032,8641,-9.4,-23.8,"Zones 6a, 4b",29
Washington,Badger Spring Ivins 14W Utah,84738,3990,21.2,12.2,"Zones 9a, 8a",30
Washington,La Verkin,84745,3194,14,1.4,"Zones 8a, 7a",30
Washington,Lava Point Utah,84767,7700,-5.8,-16.6,"Zones 6a, 5a",24
Washington,Little Grass,84725,6100,1.4,-13,"Zones 7a, 5b",29
Washington,Long Flat,84757,8000,-4,-20.2,"Zones 6b, 4b",28
Washington,Lytle Rch,84770,2787,14,3.2,"Zones 8a, 7a",29
Washington,New Harmony,84757,5167,3.2,-18.4,"Zones 7a, 5a",30
Washington,St. George,84770,2857,19.4,3.2,"Zones 8b, 7a",30
Washington,Veyo Powerhouse,84782,4600,12.2,-2.2,"Zones 8a, 6b",28
Washington,Zion National Park,84767,4038,10.4,-5.8,"Zones 8a, 6a",30
Wayne,Capitol Reef N.P.,84775,5500,6.8,-7.6,"Zones 7b, 6a",30
Wayne,Donkey Reservoir,84718,9800,-18.4,-29.2,"Zones 5a, 4a",29
Wayne,Hanksville,84734,4308,-2.2,-14.8,"Zones 6b, 5b",29
Wayne,Hans Flat Rs,84532,6600,5,-9.4,"Zones 7a, 6a",30
Wayne,Loa,84747,7070,-11.2,-25.6,"Zones 5b, 4a",21
Weber,Ben Lomond Peak,84414,8000,-2.2,-20.2,"Zones 6b, 4b",30
Weber,Ben Lomond Trail,84317,5829,6.8,-7.6,"Zones 7b, 6a",29
Weber,Bues Canyon Utah,84403,5100,5,-5.8,"Zones 7a, 6a",29
Weber,Horse Ridge,84324,8160,-7.6,-29.2,"Zones 6a, 4a",29
Weber,Huntsville Monastery,84317,5140,-16.6,-36.4,"Zones 5a, 3a",24
Weber,Ogden Hinkley AP,84405,4470,3.2,-7.6,"Zones 7a, 6a",22
Weber,Pine View Dam,84317,4940,-13,-36.4,"Zones 5b, 3a",30
